Hospital,Total,Remaining,ICU,Oxygen,Isolation,Last Updated
Carewell Multispeciality Hospital,45,0,0,0,0,2021-04-27 11:04:30
GMC Bhopal - DCH,680,69,0,0,69,2021-04-27 08:58:31
Chirayu Medical College,1100,0,0,0,0,2021-04-27 09:23:37
RKDF Medical College Hospital &amp; Research Centre(CONTRACT),225,0,0,0,0,2021-04-27 09:11:33
Narmada Trauma Centre,30,0,0,0,0,2021-04-27 08:55:17
Siddhanta red cross superspeciality,30,0,0,0,0,2021-04-27 08:45:07
All India Institute of Medical Sciences,500,0,0,0,0,2021-04-27 09:39:37
SILVER LINE,7,0,0,0,0,2021-04-27 09:49:05
BHOPAL MULTISPECIALITY HOSPITAL,13,7,3,1,3,2021-04-27 11:00:54
RAJDEEP Hospital,20,0,0,0,0,2021-04-27 10:30:17
ANANTSHREE HOSPITAL,85,5,0,0,5,2021-04-27 09:07:57
ABM Hospital,60,0,0,0,0,2021-04-27 08:33:13
ARADHNA MATERNITY &amp; KIDNEY,33,0,0,0,0,2021-04-27 10:51:51
"Bansal Hospital, Bhopal - DCH",240,2,0,0,2,2021-04-27 10:53:49
Rudransh Multi Speacility Hospital,19,7,6,1,0,2021-04-27 10:56:33
R R HOSPITAL,9,0,0,0,0,2021-04-27 08:21:30
PALIWAL,60,0,0,0,0,2021-04-27 08:31:16
Bhopal Care Hospital,34,0,0,0,0,2021-04-27 09:50:57
ROSHAN Hospital,30,0,0,0,0,2021-04-27 09:29:12
NAVODAYA_COVID_CENTRE,40,0,0,0,0,2021-04-27 09:22:03
Noble Multispecilaity Hospital,45,0,0,0,0,2021-04-27 10:53:07
LN MEDICAL COLLEGE (CONTRACT),550,0,0,0,0,2021-04-27 09:34:32
JAWAHARLAL Nehru Cancer  Hospital,20,0,0,0,0,2021-04-27 09:30:19
CITI HOSPITAL MP NAGAR,37,0,0,0,0,2021-04-27 10:13:53
Apex Hospital,30,0,0,0,0,2021-04-27 10:22:40
AKSHAY HOSPITAL,23,0,0,0,0,2021-04-27 08:33:37
MAYO HOSPITAL,14,8,0,4,4,2021-04-27 08:50:18
NIRAMAYA,27,0,0,0,0,2021-04-27 09:08:56
HOPE SS HOSPITAL,20,1,1,0,0,2021-04-27 08:56:52
Smart City Hospital,40,0,0,0,0,2021-04-27 10:57:14
LBS,60,0,0,0,0,2021-04-27 08:23:29
Career Institute of Medical Sciences Bhopal,162,65,0,0,65,2021-04-27 08:45:14
Kasturba Hospital,104,0,0,0,0,2021-04-27 10:20:02
DH - BHOPAL J. P. Hospital,120,4,0,0,4,2021-04-27 08:20:08
LN JK HOSPITAL,480,0,0,0,0,2021-04-27 09:36:01
TRIPTI MULTI SPECIALTY &amp; TRAUMA CENTRE,20,2,0,2,0,2021-04-27 11:03:27
Mahaveer Institute of medical Science and  Research,250,170,0,0,170,2021-04-27 09:04:34
NATIONAL HOSPITAL,40,0,0,0,0,2021-04-27 10:05:06
